id,full_name,first_name,last_name,email,phone,city,country,android,iphone,desktop,transfers_in,transfers_out,transactions
1,Jamie Bright,Jamie,Bright,Jamie.Bright@example.com,533-849-3913,Montreal,Canada,1,0,0,[423],"[264, 329, 446, 342]",[]
2,Arabella Knox,Arabella,Knox,Arabella.Knox@example.com,652-272-9539,Los Angeles,USA,1,1,0,[],[515],[108]
3,Yusra Fletcher,Yusra,Fletcher,Yusra.Fletcher@example.com,385-702-8874,Toronto,Canada,1,1,1,[],[],[]
4,Esme Nielsen,Esme,Nielsen,Esme.Nielsen@example.com,621-797-5367,Los Angeles,USA,1,1,0,[],[],[]
5,Beatrix Everett,Beatrix,Everett,Beatrix.Everett@example.com,194-640-2758,Paris,France,1,0,0,[437],[],[]
6,Dean Lewis,Dean,Lewis,Dean.Lewis@example.com,243-955-3782,San Diego,USA,1,1,1,[],[],[]
7,Inaaya Velasquez,Inaaya,Velasquez,Inaaya.Velasquez@example.com,489-241-7631,Los Angeles,USA,1,1,1,[],[],[143]
8,Tasnim Cobb,Tasnim,Cobb,Tasnim.Cobb@example.com,262-380-8877,San Diego,USA,0,0,1,[],[],[]
9,Asa Vazquez,Asa,Vazquez,Asa.Vazquez@example.com,504-421-4485,Toronto,Canada,1,0,0,[369],[],[]
10,Keith Donovan,Keith,Donovan,Keith.Donovan@example.com,549-515-6738,Chicago,USA,0,1,1,[],[331],[79]
11,Moshe Colon,Moshe,Colon,Moshe.Colon@example.com,131-622-5442,New York,USA,0,1,1,[],[65],[]
12,Hussain Santos,Hussain,Santos,Hussain.Santos@example.com,379-352-6285,San Diego,USA,0,1,1,[274],[],[]
13,Lillian Hanna,Lillian,Hanna,Lillian.Hanna@example.com,488-762-8236,Los Angeles,USA,0,1,0,[],[],[]
14,Harvey Guerrero,Harvey,Guerrero,Harvey.Guerrero@example.com,597-677-6862,Chicago,USA,0,1,0,[],[],[]
15,Leroy Barrera,Leroy,Barrera,Leroy.Barrera@example.com,659-190-9378,New York,USA,1,1,1,[],[],"[2, 138]"
16,Zack Griffin,Zack,Griffin,Zack.Griffin@example.com,467-370-7724,San Diego,USA,0,0,1,[],[],[]
17,Adele Garza,Adele,Garza,Adele.Garza@example.com,429-916-1662,New York,USA,1,1,1,[],[],[74]
18,Sandra Cherry,Sandra,Cherry,Sandra.Cherry@example.com,218-605-4170,San Francisco,USA,0,0,1,[],[],[]
19,Carmen Burton,Carmen,Burton,Carmen.Burton@example.com,527-368-7429,Toronto,Canada,1,0,1,[],[],[]
20,Donald Stone,Donald,Stone,Donald.Stone@example.com,730-260-4630,London,United Kingdom,1,0,1,[484],[],[]
21,Clifford Mcgee,Clifford,Mcgee,Clifford.Mcgee@example.com,715-116-6302,San Francisco,USA,1,1,0,[],[],[]
22,Gerald Maldonado,Gerald,Maldonado,Gerald.Maldonado@example.com,660-116-3336,San Francisco,USA,1,0,0,[],[81],[]
23,Danielle Glenn,Danielle,Glenn,Danielle.Glenn@example.com,727-709-3351,San Francisco,USA,1,1,1,[],[],[47]
24,Isabelle Lopez,Isabelle,Lopez,Isabelle.Lopez@example.com,981-878-3234,Paris,France,1,1,0,[],[],[]
25,Alina Mccoy,Alina,Mccoy,Alina.Mccoy@example.com,495-292-8149,San Francisco,USA,0,1,1,[],[],[]
26,Julius Garrett,Julius,Garrett,Julius.Garrett@example.com,866-664-7969,Barcelona,Spain,1,1,1,[],[],[]
27,Frazer Anthony,Frazer,Anthony,Frazer.Anthony@example.com,139-396-1336,New York,USA,0,1,1,[],[],[62]
28,Cassie Molina,Cassie,Molina,Cassie.Molina@example.com,811-806-5304,San Francisco,USA,1,0,1,[],"[98, 45]",[64]
29,Dafydd Preston,Dafydd,Preston,Dafydd.Preston@example.com,368-987-3267,Barcelona,Spain,1,1,1,[],[],[]
30,Stephanie Rice,Stephanie,Rice,Stephanie.Rice@example.com,830-901-9870,Montreal,Canada,1,0,0,[],[],[]
31,Bradley Butler,Bradley,Butler,Bradley.Butler@example.com,937-172-2269,Montreal,Canada,0,1,0,[399],[],[]
32,Alejandro Brandt,Alejandro,Brandt,Alejandro.Brandt@example.com,334-279-1420,New York,USA,1,1,1,[],[],[]
33,Louise Daniel,Louise,Daniel,Louise.Daniel@example.com,917-348-4728,Barcelona,Spain,1,1,0,[],[],[]
34,Livia Howe,Livia,Howe,Livia.Howe@example.com,868-828-4315,Toronto,Canada,0,1,0,[],[],[]
35,Linda Combs,Linda,Combs,Linda.Combs@example.com,742-395-8995,Los Angeles,USA,1,1,1,[],[],"[38, 91]"
36,Dominik Odling,Dominik,Odling,Dominik.Odling@example.com,365-145-3897,Los Angeles,USA,1,0,1,[],[320],[]
37,Lili Schroeder,Lili,Schroeder,Lili.Schroeder@example.com,640-348-2128,Toronto,Canada,1,1,0,"[301, 158]",[],[]
38,Jeremiah Martin,Jeremiah,Martin,Jeremiah.Martin@example.com,277-350-5557,London,United Kingdom,1,0,0,[448],[],[]
39,Keyaan Holland,Keyaan,Holland,Keyaan.Holland@example.com,845-797-2979,Barcelona,Spain,1,1,0,[],[],[]
40,Clara Bird,Clara,Bird,Clara.Bird@example.com,958-605-3200,San Francisco,USA,1,0,0,[],[247],[]
41,Cody Riley,Cody,Riley,Cody.Riley@example.com,872-906-9681,London,United Kingdom,1,1,1,[480],[],[]
42,Tomas Griffith,Tomas,Griffith,Tomas.Griffith@example.com,492-337-4468,London,United Kingdom,0,1,0,[],[480],[]
43,Elena Pineda,Elena,Pineda,Elena.Pineda@example.com,617-226-9486,Los Angeles,USA,1,1,1,[],[379],[83]
44,Diana Davenport,Diana,Davenport,Diana.Davenport@example.com,505-179-8348,Los Angeles,USA,0,1,1,[],[],[]
45,Cordelia Houston,Cordelia,Houston,Cordelia.Houston@example.com,946-560-7738,San Francisco,USA,1,1,0,[],[],[]
46,Abubakar House,Abubakar,House,Abubakar.House@example.com,713-179-2294,San Diego,USA,0,0,1,[],[],[]
47,Celia Terry,Celia,Terry,Celia.Terry@example.com,986-149-3342,New York,USA,0,1,1,[],[128],[]
48,Esther Mccall,Esther,Mccall,Esther.Mccall@example.com,573-696-6671,Los Angeles,USA,1,0,1,[],"[72, 136]",[87]
49,Idris Proctor,Idris,Proctor,Idris.Proctor@example.com,584-182-6496,San Diego,USA,1,0,1,[],[70],[]
50,Bruno Noble,Bruno,Noble,Bruno.Noble@example.com,639-790-8394,San Diego,USA,0,1,0,[],[],[]
51,Herman Munoz,Herman,Munoz,Herman.Munoz@example.com,689-881-9382,Los Angeles,USA,1,0,1,[],[156],[]
52,Amaan Rangel,Amaan,Rangel,Amaan.Rangel@example.com,837-435-2302,Montreal,Canada,1,1,0,[264],[],[]
53,Prince Thompson,Prince,Thompson,Prince.Thompson@example.com,115-215-7565,Chicago,USA,0,0,1,[],[],[]
54,Bethany Santana,Bethany,Santana,Bethany.Santana@example.com,924-146-4189,New York,USA,0,1,0,"[371, 500]",[495],[17]
55,Ernest Martinez,Ernest,Martinez,Ernest.Martinez@example.com,448-597-4211,San Diego,USA,1,0,1,"[416, 285]",[],[]
56,Susannah O'Doherty,Susannah,O'Doherty,Susannah.O'Doherty@example.com,981-489-3689,Chicago,USA,1,1,1,[],[],[]
57,Billie Price,Billie,Price,Billie.Price@example.com,917-866-8131,London,United Kingdom,0,0,1,[],[],[]
58,Orlando Pitts,Orlando,Pitts,Orlando.Pitts@example.com,427-711-9658,Los Angeles,USA,0,1,0,[],"[380, 494]",[]
59,Phoebe Weiss,Phoebe,Weiss,Phoebe.Weiss@example.com,299-560-9666,London,United Kingdom,1,0,1,[],"[492, 487]",[]
60,Juanita Baldwin,Juanita,Baldwin,Juanita.Baldwin@example.com,989-786-8538,San Diego,USA,1,1,1,[],[],[]
61,Honor Jacobson,Honor,Jacobson,Honor.Jacobson@example.com,624-535-4606,San Francisco,USA,1,0,1,[240],[146],[]
62,Ty Mcintyre,Ty,Mcintyre,Ty.Mcintyre@example.com,743-856-9854,San Francisco,USA,1,1,0,[],[322],[]
63,Johnathan Berger,Johnathan,Berger,Johnathan.Berger@example.com,545-458-1679,San Diego,USA,0,1,1,[],[133],[132]
64,Jason Snyder,Jason,Snyder,Jason.Snyder@example.com,202-632-2346,San Francisco,USA,1,0,0,"[24, 257]",[205],[90]
65,Aled Silva,Aled,Silva,Aled.Silva@example.com,612-360-5367,Toronto,Canada,0,1,0,[],"[417, 451]",[]
66,Aisha Webb,Aisha,Webb,Aisha.Webb@example.com,447-728-9592,San Francisco,USA,1,0,1,[243],"[425, 258, 53]",[]
67,Dewi Keith,Dewi,Keith,Dewi.Keith@example.com,816-321-4054,Chicago,USA,1,1,0,[],[],[]
68,Saif Green,Saif,Green,Saif.Green@example.com,978-659-7286,Paris,France,0,1,0,[],[475],[]
69,Saoirse Keller,Saoirse,Keller,Saoirse.Keller@example.com,699-966-4749,San Francisco,USA,1,1,1,[196],[],[133]
70,Valerie Oneal,Valerie,Oneal,Valerie.Oneal@example.com,651-335-6190,Toronto,Canada,1,1,1,[],[],[]
71,Ilyas Dunlap,Ilyas,Dunlap,Ilyas.Dunlap@example.com,491-981-1293,London,United Kingdom,0,1,0,[],[501],[]
72,Kingsley Moyer,Kingsley,Moyer,Kingsley.Moyer@example.com,927-708-1141,San Francisco,USA,1,0,1,[],"[290, 269]",[]
73,Kara Stewart,Kara,Stewart,Kara.Stewart@example.com,794-314-2500,Paris,France,1,1,0,[],[447],[]
74,Myrtle Doyle,Myrtle,Doyle,Myrtle.Doyle@example.com,525-796-7991,Toronto,Canada,1,1,1,[],"[298, 462]",[]
75,Marjorie Shields,Marjorie,Shields,Marjorie.Shields@example.com,346-207-2724,San Diego,USA,0,1,1,[],[104],[]
76,Taha Casey,Taha,Casey,Taha.Casey@example.com,581-100-2001,Los Angeles,USA,1,0,1,[46],[],[]
77,Cleo Greer,Cleo,Greer,Cleo.Greer@example.com,138-806-4136,Los Angeles,USA,1,1,0,[],[],[]
78,Angela Mcmillan,Angela,Mcmillan,Angela.Mcmillan@example.com,868-463-1850,London,United Kingdom,1,0,0,[459],[523],[]
